지 역,2015년 01분기,2015년 02분기,2015년 03분기,2015년 04분기,2016년 01분기
전체,16.5,16.5,16.4,16.4,16.5
서울,46.5,46.5,46.5,46.5,46.6
도심,52.1,52.3,52.3,52.3,52.3
광화문,52.6,52.6,52.6,52.6,52.8
남대문,66,66,66,66,66
동대문,44.2,44.5,44.5,44.5,44.5
종로,59.6,61.2,61.2,61.1,61.1
충무로,42.9,42.9,42.9,42.9,42.9
신촌마포,54.3,54.4,54.5,54.8,55.1
신촌,33.1,33.1,33.1,33.7,34.2
홍대합정,67.7,67.9,68,68,68
기타,34.5,34.4,34.5,34.4,34.5
성신여대,48.3,48.3,48.3,48,48
영등포,30.5,30.7,30.8,30.8,30.8
용산,30.4,30.4,30.6,30.5,30.9
청량리,36.6,35.9,35.9,35.9,35.7
부산,26.4,26.4,26.3,26.2,26.2
동래역,33.1,33.2,33.4,33.4,33.4
사상역,17.7,17.7,17.7,17.7,17.7
서면,32.9,32.9,32.9,32.6,32.8
온천장,18,18,18,18.2,18.3
중구시장,44.5,44.5,41.8,41.5,41.5
해운대,23.1,23.1,23.1,23.1,22.8
대구,20.7,20.7,20.6,20.7,20.7
동성로,23.6,23.6,23.1,23.3,23.4
들안길,19.3,19.3,19.4,19.4,19.5
상인월배,22.4,22.4,22.4,22.4,22.4
수성,16.9,16.9,16.9,16.9,17
죽전,19.9,19.9,19.9,19.9,19.9
인천,14.5,14.6,14.8,14.9,15.2
구월간석,10.8,10.8,10.8,10.8,11
부평,21.9,21.9,21.9,22,22.4
신포동,11.8,12.1,12,12.1,12.9
주안,14.4,14.7,15.6,15.8,15.9
광주,13.9,14,14,14.2,14.3
금남로/충장로,19.4,19.4,19.4,19.4,19.4
봉선동,9.3,9.3,9.3,9.3,9.3
송정동지구,15.2,15.2,15.2,16.9,16.9
양산지구,13.4,13.6,13.6,13.5,13.5
월산동지구,7.4,7.4,7.4,7.4,7.4
대전,12.3,12.3,12.3,12.3,12.5
복합터미널,16.4,16.3,16.3,16.3,16.3
서대전네거리,13.7,13.7,13.7,13.7,13.9
원도심,10.9,10.9,10.9,11,11
유성온천역,9.5,9.5,9.7,9.6,9.6
울산,13.6,13.6,13.6,13.7,13.8
삼산동,12.8,12.8,12.8,12.8,12.8
성남옥교동,14.4,14.4,14.4,14.4,14.4
신정동,13.4,13.4,13.5,13.8,13.9
세종,14.7,14.7,14.7,14.7,15
경기,23.1,23.1,22.1,22.1,22.2
광주시가지,45.3,45.3,37.6,37.6,37.6
성남구시가지,23.4,23.9,23.9,23.9,23.9
신장/지산/서정,14,13.7,13.7,14.1,14.1
안성시장,12,12,12,11.8,11.8
오산시청,18,18,18,18.1,18.1
의정부역,42.4,43.2,43.2,43.1,43.2
이천종합터미널,22.1,22.1,22.2,22.2,22.4
평택역,17.2,17.4,17.4,18,18.5
강원,13,12.9,12.9,12.8,12.9
강릉,11.9,11.9,11.9,11.9,11.9
속초,14.8,14.8,14.1,14.1,14.1
원주,17.3,17.2,17.2,16.9,17.3
춘천,9.7,9.7,9.7,9.7,9.7
충북,10.9,11,11,11,11
제천시외버스터미널,15.3,15.3,15.4,15.4,15.4
제천역,5.2,5.2,5.2,5.2,5.1
청주,19.2,19.1,19.2,19.5,19.5
충주,8.9,8.9,8.9,8.9,8.9
충주자유시장,13.9,13.9,13.9,13.9,13.9
충남,12.1,12.1,12,12,12
강경젓갈시장,8.6,8.6,8.6,8.6,8.6
논산시외버스터미널,10.4,10.3,10.3,10.3,10.3
보령대천동우체국,10.7,10.7,10.7,10.7,10.7
서산시청,15.3,15.3,15.3,15.3,15.3
아산,15.8,15.8,15.5,15.4,15.4
천안역,12.3,12.3,12.2,12.1,12.1
전북,9.3,9.3,9.3,9.3,9.3
군산,12.7,12.6,12.6,12.6,12.4
김제,10.5,10,10,10,10
남원,7.6,7.6,7.6,7.7,7.7
익산,8.5,8.5,8.5,8.5,8.5
전주,10.9,10.9,10.9,10.9,11.1
정읍,9.6,9.6,9.6,9.6,9.6
전남,9.6,9.6,9.7,9.8,9.8
광양,6.3,6.3,6.3,6.3,6.3
광양1,10.9,10.9,10.9,10.9,11.1
나주구시가지,13.4,13.4,13.4,13.4,13.4
목포,7.6,7.6,7.8,7.8,7.8
무선지구,10.7,10.7,10.7,10.7,10.7
순천,9.6,9.6,9.6,9.6,9.6
여수,10.3,10.4,10.4,10.4,10.4
조례,10.1,10.1,10.1,10.1,10.1
하당신도심,11.6,11.6,11.6,11.8,11.8
경북,12.4,12.4,12.4,12.4,12.3
경주,20.8,20.8,20.8,20.8,20.9
구미,9.9,9.8,9.8,9.8,10
구미산업단지,17.7,17.7,17.8,17.8,17.8
문경,8.9,8.8,8.8,8.8,8.8
안동,13.8,13.8,13.8,13.8,13.9
영주1,5.5,5.5,5.5,5.5,5.5
옥동사거리,9.4,9.4,9.4,9.4,9.4
포항,12.3,12.3,12.3,11.9,11.7
경남,13.4,13.4,13.4,13.1,13.1
거제,22.8,22.8,22.6,22.6,22.6
김해,9.9,9.9,9.9,9.9,9.9
양산,8.8,8.8,8.8,8.3,8.4
진주,15.2,15.2,15.2,15.2,15.2
창원시 마산 동서동,13,13,13.3,12.2,12.3
활천동,8.2,8.2,8.2,8.2,8
제주,12.3,12.3,12.4,12.4,12.4
노형오거리,17,17,17.1,17.1,17
서귀포도심,11.6,11.8,11.8,11.8,11.9
제주,10.9,10.9,11,11.1,11.1
